[CHECKSUM=1:18:1029]
[DATE=2009-11-23 16:09:59]
[ENCODING=ISO-8859-4]

#
#  Language file: English
#  Supplier: www.saurus.info 
#


# SYSTEM STRING; DESCRIPTION; TRANSLATION;



[system:1:System]
Objects;Objects;Objects;
object_changed;Changed;Modified;
object_created;Created;Created;
Objekt;Object;Object;
OK;OK;OK;
On kuupaev;Use date;Use date;
On meilinglist;Add mailinglist;Add mailinglist;
On noutud;On noutud;Required;
On select;On select;On select;
Open in new window;Open in new window;Open in new window;
or;or;or;
original picture;Original picture;Original picture;
Otsi;Search;Search;
Page template;Page template;Page template;
Pages;Pages;Pages;
Parent category;Parent category;Parent category;
Parool;Password;Password;
Parool uuesti;Confirm password;Confirm password;
Pealkiri;Headline;Headline;
Pealkiri on nahtav;Show headline;Show headline;
Peida meiliaadress;Hide my e-mail address;Hide my e-mail address;
Permission denied;Permission denied;Permission denied;
Permissions;Permissions;Permissions;
Permissions copied to subtree;Permissions copied to subtree;Permissions copied to subtree;
Permissions not defined;Permissions not defined;Permissions not defined;
Pilt;Picture;Picture;
Pilti;pictures;pictures;
Please use format dd.mm.yyyy;Please use format dd.mm.yyyy;Please use format dd.mm.yyyy;
Pohitext;Main text;Main text;
Pohivarv;Main color;Main color;
Position;Position;Position;
product_profile;Product profile;Product profile;
product_profiles;Product profiles;Product profiles;
profile;Profile;Profile;
Publish;Publish;Publish;
published;Published;Published;
Publishing;Publishing;Publishing;
Registreeritud;Registered;Registered;
Reset;Reset;Reset;
Resource;Resource;Resource;
Ridade arv;Number of rows;Number of rows;
Rubriigid;Save to this section;Parent;
rubriik;Section;Section;
Saada meilile;Send responses to my e-mail;Send responses to my e-mail;
Saidi tiitel;Web site title;Meta-title;
Salvesta;Save;Save;
Salvestatud;Saved;Saved;
save parameters;Save parameters;Save parameters;
save_and_close;Save and close;Save and close;
Sellised stiilid ilmuvad artikli editoris;Those styles appear in the article editor;Those styles appear in the article editor;
Send;Send;Send;
Sisestas;Inserted by;Inserted by;
Sissejuhatus;Lead;Lead;
Sisu;Body text;Body text;
Start date is later than end date;Start date is later than end date;Start date is later than end date;
Suurus;Size;Size;
sys alias;System alias;System alias;
sys sona;System string;Description;
Systeemi sona;System string;System string;
System;System Articles;System Articles;
Tabel;Table;Table;
Tagasi;Back;Back;
Teemad;Subjects;Subjects;
Tekst;Text;Text;
Thumbnail size;Thumbnail size;Thumbnail size;
Tuhista;Cancel;Cancel;
Tyyp;Type;Type;
Uhik;Unit;Unit;
unpublished;Unpublished;Unpublished;
Update;Update;Update;
URL;URL;URL;
use_this_folder_for_album;Use this folder for album;Use this folder for album;
Uudised;News;News;
Uudiste rubriigid;News sections;News sections;
Uudistekogu;Articles' list;Articles' list;
Vaikimisi_editoris;Default administration language;Default administration language;
Vaikimisi_veebis;Default language in web site;Default language in web site;
Vali;Data Field;Data Field;
value exists;The value already exists;The value already exists;
Vastus;Answer;Answer;
Vastused;Answers;Answers;
Vastuseid;Replies;Replies;
Veergude arv;Number of columns;Number of columns;
view;View;View;
Viimane kiri;Last message;Last message;
Viimati muutis;Last changed by;Last changed by;
visible_to_visitors;Visible to visitors;Viewable by visitors;
Yes;Yes;Yes;



[dokumendid:4:Documents]
Aeg;Time;;
Autor;Author;Author;
fail;File;File;
Kirjeldus;Description;Description;
Pealkiri;Headline;Headline;
sub_documents;Sub-documents;Sub-documents;
Suurus;Size;Size;
type;Type;type;



[kalender:5:Calendar]
clear;clear;clear;
close;close;close;
Daily;Daily;Daily;
Date;Date;Date;
Day;Day;Day;
Hour;Hour;Hour;
Hourly;Hourly;Hourly;
Month;Month;Month;
month1;January;January;
month10;October;October;
month11;November;November;
month12;December;December;
month2;February;February;
month3;March;March;
month4;April;April;
month5;May;May;
month6;June;June;
month7;July;July;
month8;August;August;
month9;September;September;
Monthly;Monthly;Monthly;
next;»;»;
previous;«;«;
today;today;today;
week;week;week;
weekday1;Mon;Mon;
weekday1_long;Monday;Monday;
weekday2;Tue;Tue;
weekday2_long;Tuesday;Tuesday;
weekday3;Wed;Wed;
weekday3_long;Wednesday;Wednesday;
weekday4;Thu;Thu;
weekday4_long;Thursday;Thursday;
weekday5;Fri;Fri;
weekday5_long;Friday;Friday;
weekday6;Sat;Sat;
weekday6_long;Saturday;Saturday;
weekday7;Sun;Sun;
weekday7_long;Sunday;Sunday;
Weekly;Weekly;Weekly;
whole month;whole month;whole month;
whole_day;Whole day;Whole day;
Year;Year;Year;
yearly;Yearly;Yearly;



[otsing:7:Search]
Ei sisalda sonu;Doesn't include words;Does not include words;
Eile;Yesterday;Yesterday;
Koiki sonu;All words;All words;
Lipik Album;Albums;Galleries;
Lipik Artikkel;Articles;Articles;
Lipik Asset;Other;Other;
Lipik Dokument;Documents;Documents;
Lipik Event;Events;Events;
Lipik Kommentaar;Comments;Comments;
Lipik Link;Links;Links;
Lipik Pilt;Images;Images;
Lipik product_category;Products;Products;
Lipik Rubriik;Sections;Sections;
Lipik Valine link;Links;Links;
Millal iganes;Whenever;Whenever;
Otsi;Search;Search;
Otsingutulemused;Search results;Search results;
Otsi_rubriigist;Search section;Search section;
Pealkirja jargi;By subject;By subject;
Search subtree;Search subtree;Search subtree;
Search_category;Search category;Search category;
search_unused_files;Files not linked from articles;Files not linked from articles;
Sorteeri;Sort;Sort;
Tappisotsing;Advanced search;Advanced search;
Tapset fraasi;Exact phrase;Exact phrase;
Tulemusi;Results;Results;
Uuemad enne;Newest first;Newest first;
Viimane 1 kuu;Last month;Last month;
Viimane aasta;Last year;Last year;
Viimane nadal;Last week;Last week;
Viimased 3 kuud;Last 3 months;Last 3 months;
Viimased 6 kuud;Last 6 months;Last 6 months;
Viimati muudetud;Last changes;Last changes;
Votmesona;Keyword;Keyword;
yhte sonadest;One of the words;One of the words;



[kujundus:9:Visual design]
Add;Add;Add;
Arhiiv;Archive;Archive;
Artiklil on;This article has;This article has;
Comments: Login required;You must login before adding comments;You must login before adding comments;
Forum alert: Enter your name!;Forum alert: Enter your name!;Enter your name!;
Forum alert: Please fill in the message body!;Forum alert: Please fill in the message body!;Please fill in the message body!;
Forum alert: Please fill in the subject!;Forum alert: Please fill in the subject!;Please fill in the subject!;
Gallup;Poll;Poll;
Gallup Arhiiv;Poll's archive;Poll's archive;
haaleta;Vote;Vote;
Kaart;Sitemap;Sitemap;
Kommentaarid;Comments;Comments;
Lehekulg;Page;Page;
Loe edasi;More;More;
Login;Login;Login;
Logout;Logout;Logout;
navbar;Location;Location:;
next;Next;Next;
or;or;or;
Otsing;Search;Search;
Pildil_on;This picture has;This picture has;
poll_results;Results;Results;
poll_voters;Voters list;Voters list;
previous;Previous;Previous;
Print;Print;Print;
Profile;Profile;Profile;
Registreerimisvorm;Register;Register;
SSO turned off;The SSO module is turned off.;The SSO module is turned off.;
Tagasi;Back;Back;
Tagasi artikli juurde;Back to the article;Back to the article;
Taitke nimi;Enter your name!;Enter your name!;
Taitke tekst;Enter text!;Enter text!;
Tappisotsing;Advanced search;Advanced search;
Unustatud parooli saatmine;Forgot password?;Forgot password?;
Vaata lisaks;See also;See also;
Vasta;Reply;Reply;
vastajaid;Responses;Responses;
Viga;Error;Error;



[kasutaja:11:Users]
Account;Account;Account;
Account_nr;Account number;Account number;
Additional info;Additional info;Additional info;
Aeg;Time;;
Allow autologin from IP;Allow autologin from IP;Allow autologin from IP;
Applications login info;Applications login information;Applications;
auth_type;Authentication;Authentication;
Autologin_ip;Autologin_ip;Autologin IP;
City;City;City;
Contactperson;Contactperson;Contactperson;
Contact_phone;Contact Phone;Contact Phone;
Country;Country;Country;
Delivery_address;Delivery Address;Delivery Address;
Delivery_city;Delivery City;Delivery City;
Delivery_country;Delivery Country;Delivery Country;
Delivery_zip;Delivery Zip;Delivery Zip;
Eesnimi;Name;Name;
Email;Email;E-mail;
Email already exists;e-mail already exists;e-mail already exists;
email not found;E-mail not found;E-mail not found;
