[CHECKSUM=0:18:1029]
[DATE=2009-11-23 16:10:13]
[ENCODING=UTF-8]

#
#  Language file: Estonian
#  Supplier: www.saurus.info 
#  

# SYSTEM STRING; DESCRIPTION; TRANSLATION;



[system:1:System]
Kommentaar;Comment;Kommentaar;
Kujundusmall;Design template;Kujundusmall;
Kuni;Until;Kuni;
Kustuta;Delete;Kustuta;
Laius;Width;Laius;
Leiti;Found;Leiti;
Link;Hyperlink;Link;
Lisa;Add;Lisa;
Lisa pilte;Add picture(s);Lisa pilt(e);
loginkast;Login module;Login kast;
Luhend;Abbreviation;Lühend;
Lukus;Locked;Lukus;
maaratud pealkiri;Headline can't be empty!;Pealkiri peab olema määratud!;
Mall muudetav;Changeable template;Mall muudetav;
Mall tyhi;Empty template;Mall tühi;
Metadata;Metadata;Metadata;
Metainfo;Metainfo;Metaandmed;
Muuda;Change;Muuda;
Naita alamartiklid;Show subarticles;Näita alamartiklid;
Naita kuupaev;Show dates;Näita kuupäev;
Naita prindi ikoon;Show tools icons;Näita prindi ikoon;
New;New;Uus;
New child;New child;Uus alluv;
Nimetus;Name;Nimi;
Nimi;Name;Nimi;
No;No;Ei;
Objects;Objects;Objektid;
object_changed;Changed;Muudetud;
object_created;Created;Loodud;
Objekt;Object;Objekt;
OK;OK;OK;
On kuupaev;Use date;Kuupäev;
On meilinglist;Add mailinglist;On meilinglist;
On noutud;On noutud;Kohustuslik;
On select;On select;Kuva rippmenüüna;
Open in new window;Open in new window;Ava uues aknas;
or;or;or;
original picture;Original picture;Originaalfail;
Otsi;Search;Otsi;
Page template;Page template;Lehemall;
Pages;Pages;Leheküljed;
Parent category;Parent category;Kuulub kategooriasse;
Parool;Password;Parool;
Parool uuesti;Confirm password;Parool uuesti;
Pealkiri;Headline;Pealkiri;
Pealkiri on nahtav;Show headline;Pealkiri on nähtav;
Peida meiliaadress;Hide my e-mail address;Peida minu meiliaadress avalikus veebis;
Permission denied;Permission denied;Tegevus keelatud;
Permissions;Permissions;Õigused;
Permissions copied to subtree;Permissions copied to subtree;Õigused kopeeritud alampuule;
Permissions not defined;Permissions not defined;Õigused määramata;
Pilt;Picture;Pilt;
Pilti;pictures;pilti;
Please use format dd.mm.yyyy;Please use format dd.mm.yyyy;Palun kasuta vormingut dd.mm.yyyy;
Pohitext;Main text;Normal;
Pohivarv;Main color;Põhivarv;
Position;Position;Asukoht;
product_profile;Product profile;Toote profiil;
product_profiles;Product profiles;Toote profiilid;
profile;Profile;Profiil;
Publish;Publish;Avalda;
published;Published;Avaldatud;
Publishing;Publishing;Avaldamine;
Registreeritud;Registered;Registreeritud;
Reset;Reset;Tühjenda;
Resource;Resource;Ressurss;
Ridade arv;Number of rows;Ridade arv;
Rubriigid;Save to this section;Ülemine tase;
rubriik;Section;Rubriik;
Saada meilile;Send responses to my e-mail;Saada selle kirja vastused minu meiliaadressile;
Saidi tiitel;Web site title;Saidi tiitel;
Salvesta;Save;Salvesta;
Salvestatud;Saved;Salvestatud;
save parameters;Save parameters;Salvesta parameetrid;
save_and_close;Save and close;Salvesta ja sulge;
Sellised stiilid ilmuvad artikli editoris;Those styles appear in the article editor;Sellised stiilid ilmuvad artikli editoris;
Send;Send;Saada;
Sisestas;Inserted by;Sisestas;
Sissejuhatus;Lead;Sissejuhatus;
Sisu;Body text;Sisu;
Start date is later than end date;Start date is later than end date;Alguskuupäev on suurem lõppkuupäevast;
Suurus;Size;Suurus;
sys alias;System alias;Alias;
sys sona;System string;Kirjeldus;
Systeemi sona;System string;Süsteemisõna;
System;System Articles;Süsteemsed artiklid;
Tabel;Table;Tabel;
Tagasi;Back;Tagasi;
Teemad;Subjects;Teemad;
Tekst;Text;Tekst;
Thumbnail size;Thumbnail size;Eelvaate suurus;
Tuhista;Cancel;Tühista;
Tyyp;Type;Tüüp;
Uhik;Unit;Ühik;
unpublished;Unpublished;Avaldamata;
Update;Update;Update;
URL;URL;URL;
use_this_folder_for_album;Use this folder for album;Kasuta seda kausta albumina;
Uudised;News;Uudised;
Uudiste rubriigid;News sections;Uudiste rubriigid;
Uudistekogu;Articles' list;Kogumikukast;
Vaikimisi_editoris;Default administration language;Vaikimisi toimetajakeskkonnas;
Vaikimisi_veebis;Default language in web site;Vaikimisi veebis;
Vali;Data Field;Väli;
value exists;The value already exists;Väärtus on juba olemas;
Vastus;Answer;Vastus;
Vastused;Answers;Vastused;
Vastuseid;Replies;Vastuseid;
Veergude arv;Number of columns;Veergude arv;
view;View;Vaata;
Viimane kiri;Last message;Viimane kiri;
Viimati muutis;Last changed by;Viimati muutis;
visible_to_visitors;Visible to visitors;Nähtavus külastajatele;
Yes;Yes;Jah;



[dokumendid:4:Documents]
Aeg;Time;Aeg;
Autor;Author;Autor;
fail;File;Faili nimi;
Kirjeldus;Description;Kirjeldus;
